X1,x,y,binary,group
6,-41.77060317993164,-4.262608528137207,0,ACLU
1,-40.07453155517578,-3.2252402305603027,0,ACLU
16,-41.737735748291016,-4.278786659240723,0,ACLU
30,-16.483903884887695,20.804744720458984,0,ACLU
7,-38.33125305175781,-3.151226758956909,0,ACLU
4,-27.87566566467285,24.09622573852539,0,ACLU
17,-16.008947372436523,18.911211013793945,0,ACLU
8,-40.04541015625,-3.207664728164673,0,ACLU
0,-26.870481491088867,23.369630813598633,0,ACLU
2,-42.83443832397461,-9.761259078979492,0,ACLU
43,-14.060604095458984,28.932029724121094,0,AEU
40,-18.517148971557617,18.158933639526367,0,AEU
44,-9.241118431091309,-17.172170639038086,0,AEU
46,-21.12067222595215,20.74025535583496,0,AEU
79,-18.686431884765625,30.128080368041992,1,alqaeda
75,-19.63780975341797,31.70444107055664,1,alqaeda
66,-16.161109924316406,32.9236946105957,1,alqaeda
71,-20.001060485839844,29.750940322875977,1,alqaeda
59,-16.65907859802246,28.80201530456543,1,alqaeda
72,-15.622676849365234,33.856258392333984,1,alqaeda
74,-21.26940155029297,34.797935485839844,1,alqaeda
84,-18.29990005493164,29.568740844726563,1,aqis
88,-19.751678466796875,34.1680793762207,1,aqis
93,-19.876012802124023,32.167152404785156,1,asl
95,-18.628765106201172,32.28359603881836,1,asl
97,-19.162118911743164,33.129981994628906,1,ast
99,-18.122211456298828,34.61279296875,1,ast
158,-12.9581298828125,-11.719195365905762,0,Bahai
105,1.7609484195709229,17.813182830810547,0,Bahai
117,14.731531143188477,11.615396499633789,0,Bahai
157,-12.803990364074707,-11.892807960510254,0,Bahai
173,-14.343411445617676,-15.559392929077148,0,Bahai
120,-10.565164566040039,22.81104278564453,0,Bahai
165,-12.767684936523438,-13.628141403198242,0,Bahai
129,-0.06727993488311768,14.784836769104004,0,Bahai
175,-9.131779670715332,-13.824920654296875,0,Bahai
112,-12.436873435974121,-2.8885600566864014,0,Bahai
132,9.994531631469727,10.321491241455078,0,Bahai
124,11.198953628540039,11.697639465332031,0,Bahai
162,-7.907210826873779,-13.239234924316406,0,Bahai
126,8.529549598693848,11.815629005432129,0,Bahai
149,2.1725192070007324,10.759488105773926,0,Bahai
156,-13.874648094177246,-12.79068660736084,0,Bahai
166,-9.813882827758789,-14.095149993896484,0,Bahai
154,-10.002490997314453,-12.722432136535645,0,Bahai
189,-19.156221389770508,31.49335289001465,1,boko-haram
186,-19.870098114013672,35.01921844482422,1,boko-haram
183,-19.275257110595703,31.079973220825195,1,boko-haram
179,-18.37950897216797,35.764892578125,1,boko-haram
514,34.0732421875,-2.8274760246276855,0,DorothyDay
919,17.91550636291504,-21.654836654663086,0,DorothyDay
899,5.031719207763672,-30.23544692993164,0,DorothyDay
915,14.068279266357422,-7.847743034362793,0,DorothyDay
578,2.005185604095459,-34.23710632324219,0,DorothyDay
768,24.730363845825195,-0.3198660910129547,0,DorothyDay
544,13.944402694702148,0.9786422252655029,0,DorothyDay
619,15.967937469482422,-20.333513259887695,0,DorothyDay
733,4.875517845153809,-17.529356002807617,0,DorothyDay
545,-34.623260498046875,6.637200832366943,0,DorothyDay
647,13.163849830627441,-25.164833068847656,0,DorothyDay
781,8.620640754699707,7.278334140777588,0,DorothyDay
767,13.612032890319824,-30.052936553955078,0,DorothyDay
530,22.137088775634766,-21.817228317260742,0,DorothyDay
484,15.418023109436035,-41.206180572509766,0,DorothyDay
906,-2.091067314147949,-0.5402815937995911,0,DorothyDay
714,25.320749282836914,-26.020902633666992,0,DorothyDay
316,7.5982232093811035,-22.993017196655273,0,DorothyDay
447,17.97746467590332,-3.6871109008789062,0,DorothyDay
929,-11.240771293640137,21.074914932250977,0,DorothyDay
549,-2.0357396602630615,9.62336254119873,0,DorothyDay
218,-5.364441394805908,-29.749237060546875,0,DorothyDay
569,12.672990798950195,-38.00038146972656,0,DorothyDay
579,6.755285739898682,-36.11699295043945,0,DorothyDay
478,-2.4636662006378174,-32.704383850097656,0,DorothyDay
249,1.7422699928283691,-11.65459156036377,0,DorothyDay
465,-10.718888282775879,17.102584838867188,0,DorothyDay
894,1.7602046728134155,-26.656503677368164,0,DorothyDay
445,-1.6491740942001343,-9.57904052734375,0,DorothyDay
596,-29.13595962524414,1.1338324546813965,0,DorothyDay
338,12.79848575592041,-36.726829528808594,0,DorothyDay
468,19.146512985229492,-23.094736099243164,0,DorothyDay
286,13.310677528381348,-13.721540451049805,0,DorothyDay
558,-21.29705047607422,-40.53727340698242,0,DorothyDay
529,34.047000885009766,-2.8183414936065674,0,DorothyDay
582,32.25320816040039,2.791200637817383,0,DorothyDay
459,10.638763427734375,-31.648296356201172,0,DorothyDay
293,-30.539644241333008,-4.377641677856445,0,DorothyDay
367,-5.289552211761475,-38.02010726928711,0,DorothyDay
636,7.299165725708008,-32.198760986328125,0,DorothyDay
408,19.829240798950195,-20.370302200317383,0,DorothyDay
313,0.2119637280702591,-11.606157302856445,0,DorothyDay
864,33.98691177368164,16.54395294189453,0,DorothyDay
479,13.34315013885498,-44.10152816772461,0,DorothyDay
502,8.603479385375977,-29.61829948425293,0,DorothyDay
246,9.24639892578125,-37.798057556152344,0,DorothyDay
456,0.011141307651996613,-13.6692533493042,0,DorothyDay
752,-1.4905498027801514,-43.612239837646484,0,DorothyDay
258,-5.087996006011963,-33.05644989013672,0,DorothyDay
667,19.945072174072266,-30.259082794189453,0,DorothyDay
832,-2.0327987670898437,-40.282310485839844,0,DorothyDay
224,3.9340574741363525,-30.605369567871094,0,DorothyDay
312,10.967395782470703,-39.93019485473633,0,DorothyDay
868,0.3432352840900421,-32.3944091796875,0,DorothyDay
386,3.7439098358154297,-39.928436279296875,0,DorothyDay
801,1.8205187320709229,-34.06509780883789,0,DorothyDay
760,-1.9561525583267212,-42.942901611328125,0,DorothyDay
748,-28.005544662475586,-8.4571533203125,0,DorothyDay
695,3.8535189628601074,8.814701080322266,0,DorothyDay
261,19.16901969909668,-45.903411865234375,0,DorothyDay
834,-35.56706237792969,-14.387845993041992,0,DorothyDay
641,4.994412899017334,-33.025691986083984,0,DorothyDay
555,-4.471274375915527,9.306768417358398,0,DorothyDay
376,0.6964494585990906,-20.401208877563477,0,DorothyDay
406,15.879154205322266,-22.38092803955078,0,DorothyDay
642,-0.4388902187347412,7.34726095199585,0,DorothyDay
257,-5.426345348358154,-40.643455505371094,0,DorothyDay
453,1.5319132804870605,0.1348300725221634,0,DorothyDay
481,11.073381423950195,-43.948699951171875,0,DorothyDay
608,2.627643346786499,-33.21116256713867,0,DorothyDay
681,17.18385887145996,-9.238001823425293,0,DorothyDay
385,22.970754623413086,-4.042355060577393,0,DorothyDay
702,24.438018798828125,-27.783287048339844,0,DorothyDay
588,13.583285331726074,-38.84782409667969,0,DorothyDay
274,4.868732452392578,-42.13325500488281,0,DorothyDay
858,2.8936052322387695,-17.119121551513672,0,DorothyDay
895,-1.705053448677063,-40.49104309082031,0,DorothyDay
238,6.77677059173584,-25.022258758544922,0,DorothyDay
248,12.573047637939453,-23.022111892700195,0,DorothyDay
789,17.08005142211914,-36.68670654296875,0,DorothyDay
728,0.9219085574150085,-15.535002708435059,0,DorothyDay
521,20.374866485595703,-41.72077560424805,0,DorothyDay
432,11.026105880737305,-37.63407897949219,0,DorothyDay
875,-3.752089262008667,-37.275978088378906,0,DorothyDay
766,-21.722637176513672,-4.042320728302002,0,DorothyDay
923,33.81514358520508,5.494406223297119,0,DorothyDay
581,4.769199371337891,-37.252803802490234,0,DorothyDay
844,2.380535125732422,-32.97785568237305,0,DorothyDay
827,-9.2397613525390625,16.14582061767578,0,DorothyDay
682,-6.985355377197266,2.932889461517334,0,DorothyDay
561,-28.13438606262207,-14.13904094696045,0,DorothyDay
232,4.881815433502197,-41.66029357910156,0,DorothyDay
759,-1.8558963537216187,-5.749885559082031,0,DorothyDay
650,16.845104217529297,8.22153091430664,0,DorothyDay
365,12.252936363220215,-38.53721237182617,0,DorothyDay
348,-37.88801574707031,-13.480209350585938,0,DorothyDay
439,10.079233169555664,-27.413314819335938,0,DorothyDay
388,9.296907424926758,-39.13862228393555,0,DorothyDay
734,16.253206253051758,-37.53563690185547,0,DorothyDay
253,19.18888282775879,-45.863643646240234,0,DorothyDay
652,11.679739952087402,-44.49577713012695,0,DorothyDay
808,6.321630954742432,30.593080520629883,0,DorothyDay
391,-21.58677864074707,-3.017214775085449,0,DorothyDay
586,0.935551643371582,-14.36436939239502,0,DorothyDay
523,7.738803386688232,3.0746397972106934,0,DorothyDay
585,9.69727611541748,-30.941802978515625,0,DorothyDay
237,15.348082542419434,-33.50027847290039,0,DorothyDay
335,21.15652847290039,4.665746212005615,0,DorothyDay
269,-0.8290901780128479,-22.38065528869629,0,DorothyDay
696,23.502382278442383,-27.011032104492188,0,DorothyDay
259,-5.565556526184082,-40.52701950073242,0,DorothyDay
559,3.0040457248687744,-30.084070205688477,0,DorothyDay
749,5.958860874176025,-30.15907096862793,0,DorothyDay
852,-35.90751647949219,-15.397286415100098,0,DorothyDay
323,15.194901466369629,-10.19551944732666,0,DorothyDay
914,-25.535789489746094,-6.0601959228515625,0,DorothyDay
216,1.469273328781128,-46.821929931640625,0,DorothyDay
626,5.722381591796875,-28.562578201293945,0,DorothyDay
201,-22.126359939575195,19.31195831298828,0,DorothyDay
557,17.128353118896484,-12.37100601196289,0,DorothyDay
520,19.47285270690918,-41.17115783691406,0,DorothyDay
428,3.253697156906128,-21.089988708496094,0,DorothyDay
337,3.8505053520202637,-24.319904327392578,0,DorothyDay
604,33.969932556152344,7.733321666717529,0,DorothyDay
319,-35.80495071411133,-14.700563430786133,0,DorothyDay
384,-8.695989608764648,-44.529579162597656,0,DorothyDay
240,-34.14652633666992,-2.9138095378875732,0,DorothyDay
928,-30.607933044433594,2.254892110824585,0,DorothyDay
234,13.515166282653809,-12.816411018371582,0,DorothyDay
554,13.843942642211914,-19.434682846069336,0,DorothyDay
736,0.931105375289917,-15.563800811767578,0,DorothyDay
962,-7.755474090576172,12.840953826904297,0,DorothyDay
402,-2.803450584411621,15.145355224609375,0,DorothyDay
291,-6.791814804077148,-40.86408996582031,0,DorothyDay
244,10.787664413452148,-8.198795318603516,0,DorothyDay
706,-46.03254318237305,20.6622257232666,0,DorothyDay
725,14.207633972167969,-4.557255744934082,0,DorothyDay
726,5.404642105102539,-26.44981575012207,0,DorothyDay
602,19.325132369995117,-6.382265567779541,0,DorothyDay
449,6.511359691619873,-40.574405670166016,0,DorothyDay
655,-4.211368083953857,0.7792458534240723,0,DorothyDay
497,23.26956558227539,-30.008066177368164,0,DorothyDay
616,14.165653228759766,-37.846893310546875,0,DorothyDay
260,14.16759204864502,-41.328125,0,DorothyDay
212,1.5387955904006958,-46.99729919433594,0,DorothyDay
418,12.17835807800293,-25.107074737548828,0,DorothyDay
624,25.550832748413086,-30.530778884887695,0,DorothyDay
395,10.146890640258789,-29.0910701751709,0,DorothyDay
490,-4.639694690704346,-43.79241180419922,0,DorothyDay
819,4.828932285308838,-24.897720336914062,0,DorothyDay
751,19.170085906982422,-9.730644226074219,0,DorothyDay
369,18.101394653320313,-31.347030639648438,0,DorothyDay
325,12.491442680358887,-6.341909408569336,0,DorothyDay
843,25.628347396850586,-0.9019195437431335,0,DorothyDay
270,4.587392330169678,-13.732368469238281,0,DorothyDay
930,16.75282096862793,-24.241985321044922,0,DorothyDay
611,16.74192237854004,3.349055528640747,0,DorothyDay
717,7.581848621368408,5.908100128173828,0,DorothyDay
198,-22.8035945892334,34.615020751953125,0,DorothyDay
704,18.408552169799805,-2.6620121002197266,0,DorothyDay
532,-30.609512329101563,-9.921041488647461,0,DorothyDay
442,25.99675941467285,-6.748219966888428,0,DorothyDay
433,-20.70648193359375,0.24278806149959564,0,DorothyDay
688,17.175418853759766,-2.433168649673462,0,DorothyDay
594,6.645683765411377,-37.12760925292969,0,DorothyDay
295,11.434467315673828,-33.14007568359375,0,DorothyDay
967,-16.786174774169922,28.77024269104004,0,DorothyDay
835,14.293816566467285,-5.923853397369385,0,DorothyDay
416,17.46771812438965,-10.250724792480469,0,DorothyDay
799,4.3185715675354,-26.269567489624023,0,DorothyDay
703,-25.869611740112305,-4.185705184936523,0,DorothyDay
709,14.85982608795166,-38.56992721557617,0,DorothyDay
805,19.936628341674805,2.4672443866729736,0,DorothyDay
876,-31.91058349609375,-4.752913951873779,0,DorothyDay
869,19.880712509155273,-6.133203983306885,0,DorothyDay
377,3.946895122528076,-27.403043746948242,0,DorothyDay
804,-0.5544481873512268,-13.209734916687012,0,DorothyDay
828,-3.7390663623809814,-8.37053108215332,0,DorothyDay
517,17.265047073364258,-31.362377166748047,0,DorothyDay
540,-2.618685722351074,-6.369828701019287,0,DorothyDay
621,4.977728366851807,-26.54715347290039,0,DorothyDay
917,-2.3223867416381836,-15.44002914428711,0,DorothyDay
679,3.401918411254883,-21.036706924438477,0,DorothyDay
441,28.24721908569336,1.7033846378326416,0,DorothyDay
866,29.873716354370117,0.8236208558082581,0,DorothyDay
387,16.27318572998047,-31.97148895263672,0,DorothyDay
965,-8.355631828308105,13.665946960449219,0,DorothyDay
539,15.006197929382324,-31.878507614135742,0,DorothyDay
499,14.537162780761719,-36.82215118408203,0,DorothyDay
831,-35.734886169433594,7.760916233062744,0,DorothyDay
716,-0.4589356482028961,-26.504182815551758,0,DorothyDay
519,14.276660919189453,7.2977800369262695,0,DorothyDay
422,0.943858802318573,-27.40859031677246,0,DorothyDay
298,4.577564239501953,-13.738181114196777,0,DorothyDay
971,-14.537135124206543,53.27532196044922,0,Ghandi
980,-14.088484764099121,52.257598876953125,0,Ghandi
974,-14.235153198242188,52.56099319458008,0,Ghandi
986,4.870524883270264,34.11713409423828,0,hamza-yusuf
983,10.627403259277344,56.44017791748047,0,hamza-yusuf
1040,-24.463850021362305,10.508391380310059,1,ISIS
1006,-10.275308609008789,47.71482467651367,1,ISIS
1019,-1.4329525232315063,22.27716064453125,1,ISIS
1052,-8.304509162902832,48.16481018066406,1,ISIS
1041,-37.241573333740234,16.4117488861084,1,ISIS
1003,-19.21501922607422,33.9561653137207,1,ISIS
1033,-11.131475448608398,47.595680236816406,1,ISIS
1004,-15.463618278503418,27.374982833862305,1,ISIS
1014,-25.174287796020508,10.062261581420898,1,ISIS
1034,-9.581954002380371,49.13142776489258,1,ISIS
1000,-17.46286392211914,33.41698455810547,1,ISIS
992,-8.979872703552246,43.27500915527344,1,ISIS
996,-13.725244522094727,22.80958366394043,1,ISIS
1017,-10.23000717163086,43.45056915283203,1,ISIS
1044,-9.114472389221191,47.4134407043457,1,ISIS
1029,-7.948453903198242,48.110042572021484,1,ISIS
1453,-3.6555676460266113,9.489063262939453,0,JohnPiper
1582,23.45224380493164,-0.7667965888977051,0,JohnPiper
1058,48.15685272216797,-21.20577621459961,0,JohnPiper
1057,48.228126525878906,-21.02528953552246,0,JohnPiper
1332,-1.2978076934814453,-34.547367095947266,0,JohnPiper
1081,28.94585609436035,20.744365692138672,0,JohnPiper
1403,31.594486236572266,-7.919017314910889,0,JohnPiper
1529,20.2424259185791,7.562885284423828,0,JohnPiper
1282,36.153377532958984,29.138290405273438,0,JohnPiper
1182,27.344863891601563,-1.7360892295837402,0,JohnPiper
1596,-11.728402137756348,6.762906551361084,0,JohnPiper
1075,37.21027374267578,6.80380392074585,0,JohnPiper
1320,11.039219856262207,-3.02335524559021,0,JohnPiper
1230,1.1119272708892822,-8.524863243103027,0,JohnPiper
1417,-5.154108047485352,-10.978083610534668,0,JohnPiper
1369,39.6193733215332,-23.575054168701172,0,JohnPiper
1166,26.648427963256836,2.076026439666748,0,JohnPiper
1219,30.86055564880371,29.83036231994629,0,JohnPiper
1214,-35.763275146484375,-7.648695468902588,0,JohnPiper
1627,36.428436279296875,30.083703994750977,0,JohnPiper
1296,21.34797477722168,-17.878536224365234,0,JohnPiper
1225,29.273609161376953,-9.341090202331543,0,JohnPiper
1476,24.047317504882813,5.157189846038818,0,JohnPiper
1615,8.78354549407959,-3.7781972885131836,0,JohnPiper
1299,-2.583651542663574,-14.407248497009277,0,JohnPiper
1151,31.269412994384766,6.351635456085205,0,JohnPiper
1339,38.38064193725586,16.436466217041016,0,JohnPiper
1149,19.539005279541016,-2.9120583534240723,0,JohnPiper
1152,31.06703758239746,6.002702713012695,0,JohnPiper
1292,21.221189498901367,-4.957380294799805,0,JohnPiper
1566,16.158666610717773,24.50341796875,0,JohnPiper
1104,35.98558044433594,9.81462287902832,0,JohnPiper
1326,-19.716203689575195,2.9239392280578613,0,JohnPiper
1252,21.659151077270508,17.638046264648437,0,JohnPiper
1441,38.92106628417969,-0.5372287631034851,0,JohnPiper
1589,-23.52748680114746,-21.299358367919922,0,JohnPiper
1226,-4.958800315856934,40.6351432800293,0,JohnPiper
1241,7.572494029998779,-16.92056655883789,0,JohnPiper
1516,4.858857154846191,-14.805644989013672,0,JohnPiper
1276,22.233121871948242,12.217684745788574,0,JohnPiper
1284,16.548410415649414,-32.2212028503418,0,JohnPiper
1329,21.749807357788086,11.760293006896973,0,JohnPiper
1383,-17.354740142822266,10.86816692352295,0,JohnPiper
1251,0.6743823289871216,-5.778421878814697,0,JohnPiper
1578,18.83541488647461,-27.79909896850586,0,JohnPiper
1289,19.301860809326172,-7.915172576904297,0,JohnPiper
1095,16.156288146972656,13.410650253295898,0,JohnPiper
1257,25.002134323120117,-2.391835927963257,0,JohnPiper
1094,-3.3583121299743652,-12.370975494384766,0,JohnPiper
1538,13.733708381652832,2.034996747970581,0,JohnPiper
1346,26.00166893005371,5.147036075592041,0,JohnPiper
1218,-2.5187525749206543,-2.1019444465637207,0,JohnPiper
1544,40.66597366333008,13.444937705993652,0,JohnPiper
1221,28.550678253173828,4.9695000648498535,0,JohnPiper
1521,4.947818279266357,1.306932806968689,0,JohnPiper
1206,13.47067928314209,-5.643614292144775,0,JohnPiper
1102,40.10503005981445,0.9957662224769592,0,JohnPiper
1245,20.998394012451172,-4.835723400115967,0,JohnPiper
1470,19.759384155273438,20.23525619506836,0,JohnPiper
1270,45.377140045166016,-23.422996520996094,0,JohnPiper
1380,-6.255131244659424,-34.99901580810547,0,JohnPiper
1427,9.653953552246094,-13.494121551513672,0,JohnPiper
1526,11.775431632995605,12.694000244140625,0,JohnPiper
1222,37.724891662597656,27.357738494873047,0,JohnPiper
1217,30.78512954711914,11.090414047241211,0,JohnPiper
1260,21.72055435180664,-8.684124946594238,0,JohnPiper
1622,39.66387176513672,9.18726921081543,0,JohnPiper
1212,-6.030590057373047,-18.743682861328125,0,JohnPiper
1295,0.11852976679801941,-32.34615707397461,0,JohnPiper
1572,-2.035780191421509,9.69665813446045,0,JohnPiper
1385,-27.368314743041992,-2.1750717163085937,0,JohnPiper
1321,10.900687217712402,-2.196652889251709,0,JohnPiper
1208,42.86947250366211,1.3117904663085937,0,JohnPiper
1515,23.056640625,0.4023386240005493,0,JohnPiper
1630,-27.37337875366211,6.0022358894348145,0,JohnPiper
1347,39.70112228393555,-8.296195030212402,0,JohnPiper
1357,-29.105091094970703,6.868729591369629,0,JohnPiper
1179,36.108089447021484,-14.723413467407227,0,JohnPiper
1404,-7.248069763183594,35.29700469970703,0,JohnPiper
1551,9.312823295593262,-7.146052360534668,0,JohnPiper
1587,-23.064472198486328,-15.244023323059082,0,JohnPiper
1063,38.90855407714844,-7.676637649536133,0,JohnPiper
1316,23.905147552490234,13.836893081665039,0,JohnPiper
1228,19.458663940429688,14.3434476852417,0,JohnPiper
1072,41.106510162353516,30.08043098449707,0,JohnPiper
1135,37.48551940917969,0.9753925800323486,0,JohnPiper
1618,15.210527420043945,-10.368349075317383,0,JohnPiper
1519,18.640764236450195,-0.14512427151203156,0,JohnPiper
1130,10.598320960998535,-18.10896873474121,0,JohnPiper
1422,9.409074783325195,-7.15590763092041,0,JohnPiper
1184,-15.374332427978516,-12.616875648498535,0,JohnPiper
1392,23.233884811401367,34.847347259521484,0,JohnPiper
1486,8.828298568725586,-10.811360359191895,0,JohnPiper
1594,17.374366760253906,7.382025241851807,0,JohnPiper
1107,38.179203033447266,2.82216477394104,0,JohnPiper
1497,21.082427978515625,-10.281603813171387,0,JohnPiper
1350,-37.216339111328125,22.94823455810547,0,JohnPiper
1067,42.38152313232422,-1.2683296203613281,0,JohnPiper
1337,17.100921630859375,21.958627700805664,0,JohnPiper
1576,40.62198257446289,-5.701382637023926,0,JohnPiper
1197,27.291805267333984,-8.936653137207031,0,JohnPiper
1376,-28.139690399169922,4.327470302581787,0,JohnPiper
1307,46.01554870605469,-23.33348274230957,0,JohnPiper
1487,2.27506160736084,-4.820681571960449,0,JohnPiper
1185,18.408113479614258,4.492283821105957,0,JohnPiper
1620,8.819372177124023,-3.6068851947784424,0,JohnPiper
1227,34.37062072753906,-0.7928017377853394,0,JohnPiper
1468,18.37681007385254,0.5886180400848389,0,JohnPiper
1522,15.68869686126709,12.155360221862793,0,JohnPiper
1165,42.73023223876953,6.332659721374512,0,JohnPiper
1274,-27.271785736083984,-22.83074378967285,0,JohnPiper
1340,24.099302291870117,20.205867767333984,0,JohnPiper
1563,14.976310729980469,-3.5045766830444336,0,JohnPiper
1313,25.038558959960938,-11.684711456298828,0,JohnPiper
1382,13.868062973022461,12.046981811523437,0,JohnPiper
1611,35.242435455322266,-21.637554168701172,0,JohnPiper
1377,40.00786209106445,-12.050413131713867,0,JohnPiper
1438,31.745861053466797,-7.747447967529297,0,JohnPiper
1535,40.6473388671875,13.386557579040527,0,JohnPiper
1065,7.616964817047119,-17.59154510498047,0,JohnPiper
1433,27.8306827545166,-35.478267669677734,0,JohnPiper
1205,46.75770950317383,-14.732131958007813,0,JohnPiper
1110,21.775022506713867,15.485063552856445,0,JohnPiper
1444,21.7330265045166,-13.482826232910156,0,JohnPiper
1250,0.7769604921340942,-6.1048502922058105,0,JohnPiper
1294,8.377161026000977,27.65704917907715,0,JohnPiper
1448,42.689849853515625,18.353967666625977,0,JohnPiper
1290,21.58191680908203,-11.898056983947754,0,JohnPiper
1499,17.161273956298828,-7.703092575073242,0,JohnPiper
1459,38.567962646484375,-24.337976455688477,0,JohnPiper
1456,-6.29131555557251,9.282657623291016,0,JohnPiper
1413,7.159589767456055,2.7842040061950684,0,JohnPiper
1133,-10.79715347290039,-18.0733585357666,0,JohnPiper
1465,11.627669334411621,-7.22932243347168,0,JohnPiper
1215,16.452125549316406,13.228055953979492,0,JohnPiper
1386,26.765417098999023,15.754287719726563,0,JohnPiper
1581,19.730499267578125,6.521332740783691,0,JohnPiper
1234,25.666109085083008,3.4697868824005127,0,JohnPiper
1193,12.213738441467285,20.650100708007813,0,JohnPiper
1082,24.754610061645508,-23.501588821411133,0,JohnPiper
1348,15.180014610290527,-12.283968925476074,0,JohnPiper
1108,36.62225341796875,4.427736282348633,0,JohnPiper
1569,11.46745491027832,4.968697547912598,0,JohnPiper
1626,17.613849639892578,26.161962509155273,0,JohnPiper
1071,36.17597961425781,5.565392971038818,0,JohnPiper
1660,31.54971694946289,7.36924409866333,1,KKK
1680,-34.133182525634766,15.295258522033691,1,KKK
1638,11.40710735321045,37.982994079589844,1,KKK
1671,-14.584851264953613,18.182846069335938,1,KKK
1664,2.614197015762329,23.93874740600586,1,KKK
1702,-23.679418563842773,5.6373820304870605,1,KKK
1650,-40.28376770019531,-15.302084922790527,1,KKK
1720,-11.0155611038208,2.536977767944336,1,KKK
1707,-36.57237243652344,9.5446014404296875,1,KKK
1714,-6.700904369354248,4.082735061645508,1,KKK
1693,-21.51518440246582,35.97187042236328,1,KKK
1653,30.276691436767578,39.881141662597656,1,KKK
1656,-47.68088150024414,9.321898460388184,1,KKK
1668,-31.36815071105957,-15.438069343566895,1,KKK
1640,-25.13173484802246,11.599591255187988,1,KKK
1709,-21.895456314086914,6.174993991851807,1,KKK
1698,-12.835517883300781,23.254823684692383,1,KKK
1673,-17.00135612487793,27.159948348999023,1,KKK
1725,-28.94025421142578,-22.689878463745117,1,KKK
1654,7.111207485198975,35.17115783691406,1,KKK
1674,-21.745288848876953,11.225484848022461,1,KKK
1639,-18.668302536010742,10.638558387756348,1,KKK
1636,11.09241008758545,38.13029861450195,1,KKK
1846,-7.599026679992676,-13.952249526977539,0,LiberalJudaism
1852,2.2931606769561768,25.662405014038086,0,LiberalJudaism
1726,-9.316906929016113,41.473777770996094,0,LiberalJudaism
1783,-38.31365203857422,14.615269660949707,0,LiberalJudaism
1849,-1.0045604705810547,13.528532028198242,0,LiberalJudaism
1847,22.095504760742188,-14.799945831298828,0,LiberalJudaism
1838,-17.273683547973633,-7.493309020996094,0,LiberalJudaism
1817,-34.635459899902344,18.20585823059082,0,LiberalJudaism
1757,3.311811685562134,10.981657028198242,0,LiberalJudaism
1771,-5.356247425079346,33.361995697021484,0,LiberalJudaism
1759,20.207124710083008,-17.34724235534668,0,LiberalJudaism
1737,-13.97413444519043,-9.45463752746582,0,LiberalJudaism
1861,-11.73967456817627,-8.921442031860352,0,LiberalJudaism
1777,-16.03194236755371,-11.596413612365723,0,LiberalJudaism
1848,10.16776180267334,0.7147943377494812,0,LiberalJudaism
1832,-8.528334617614746,-9.793254852294922,0,LiberalJudaism
1797,1.2587521076202393,7.957027435302734,0,LiberalJudaism
1741,14.880265235900879,-20.82646369934082,0,LiberalJudaism
1884,-29.622840881347656,-4.867143154144287,0,LiberalJudaism
1743,-10.889850616455078,7.905558109283447,0,LiberalJudaism
1873,-39.89614486694336,14.15479850769043,0,LiberalJudaism
1792,16.595800399780273,-2.632469892501831,0,LiberalJudaism
1812,5.377926349639893,3.3235023021698,0,LiberalJudaism
1840,-1.1781929731369019,1.3407386541366577,0,LiberalJudaism
1865,23.613962173461914,-17.383140563964844,0,LiberalJudaism
1888,11.35820198059082,28.737640380859375,0,LiberalJudaism
1857,-11.793085098266602,-4.321108818054199,0,LiberalJudaism
1860,11.705071449279785,-11.029841423034668,0,LiberalJudaism
1749,3.5862205028533936,11.544617652893066,0,LiberalJudaism
1796,-4.965651512145996,3.7148890495300293,0,LiberalJudaism
1733,-24.766075134277344,24.889305114746094,0,LiberalJudaism
1822,26.1234188079834,0.925855278968811,0,LiberalJudaism
1827,-15.209153175354004,-1.4782658815383911,0,LiberalJudaism
1752,5.299654006958008,3.6378071308135986,0,LiberalJudaism
1806,-14.461241722106934,-9.016650199890137,0,LiberalJudaism
1730,-11.948992729187012,-2.567060708999634,0,LiberalJudaism
1766,3.949244499206543,-5.868548393249512,0,LiberalJudaism
